,distance_haversine,trip_direction,Fare,Additional Charges,work_day,month,hour,hour_temp,hour_wind,rain,metro_x,metro_y,pick_dist_dt,drop_dist_dt,pct_bach_x,median_income_x,sex_ratio_x,pct_non_white_x,pct_age_18_29_x,pct_no_car_x,pct_bach_y,median_income_y,sex_ratio_y,pct_non_white_y,median_age_y,pct_no_car_y,residential_den_x,empoloyment_den_x,network_den_x,dist_to_tran_x,walkability_x,residential_den_y,empoloyment_den_y,network_den_y,dist_to_tran_y,walkability_y
790655,2.328978898261946,-93.30605901067464,7.5,2.55,0,11,18,9.0,18.0,0,1,0,2.533517692875012,0.2704668475477904,60.1,176000,86.0,31.3,71.2234706616729,34.5,48.3,84223,66.3,19.0,57.9,53.7,-1.0700474434044944,1.0885710824612491,1.7131107825478114,425.8025,11.812500000000002,-1.001143891715962,-0.6904288121566408,1.3134938149313446,278.2307692307693,10.229885057471266
972016,7.474168898243097,160.5382298546217,7.5,7.55,0,1,13,-7.0,3.0,0,1,0,2.0389142350389804,7.677252019451327,18.4,78972,154.9,20.599999999999994,20.42300066093853,26.9,48.9,111970,91.0,32.90000000000001,37.4,34.7,1.7958495176436535,1.3283684472207715,3.191894287245154,372.23444444444436,15.759259259259258,3.489694422219217,3.159504629753916,3.4701182292714785,168.08666666666667,16.222222222222225
1106294,3.3839530344453643,-30.197006019263835,2.5,2.55,1,10,6,31.0,16.0,0,1,1,4.2976028000869855,0.9141164186559159,34.9,94667,132.9,39.9,46.15070729053319,50.0,19.4,82778,102.3,37.9,29.8,25.2,2.7945446981159607,7.107328961307633,3.875154146401044,123.385,18.166666666666668,1.8106218919234267,2.063895184689666,2.8873314065959548,179.03833333333333,13.166666666666668
1489026,10.759686852204345,71.90346479109105,12.5,0.0,1,12,23,24.0,9.0,0,0,1,4.722834025466987,8.40189387899318,28.5,59942,96.2,17.299999999999994,31.16390216474557,52.6,6.0,41281,111.6,50.6,30.6,22.4,-1.3633733439784357,-2.1115119483625593,1.1358321861776683,444.2192307692309,8.949494949494948,-0.5836636522173004,-0.8385352370599187,1.4395728534504844,284.89285714285717,13.81372549019608
175492,5.122062885706869,103.85509438887057,10.0,2.55,1,1,9,22.0,5.0,0,0,0,5.288026444377758,9.450919588683831,29.2,112386,101.3,18.900000000000013,11.99847153228888,14.5,26.2,93980,101.1,13.099999999999996,33.6,10.5,1.2226446284863992,2.0000150876295755,3.1578451801616203,298.264,15.3,2.5489493899505016,1.7106824279450452,3.1808290675775126,137.59799999999998,14.866666666666665
967236,2.9180280265584617,105.7823560051817,7.5,0.0,1,8,9,64.0,10.0,0,1,0,1.5697556677504334,3.8808259597283183,21.8,99440,86.3,25.90000000000001,27.615726062143306,25.0,46.2,102902,101.8,53.2,30.1,53.7,1.5803802812982484,3.1850715026539937,3.086486567276955,310.8025,16.5,3.6614142887434418,5.769830923217111,3.7304424068966235,226.20333333333332,14.166666666666664
1588542,11.423893863487935,24.909084037693628,12.5,2.55,1,1,16,28.0,16.0,0,1,0,12.354176009269803,8.903827365782758,23.2,72778,140.3,28.8,40.64534390036796,32.1,2.7,29917,83.3,90.6,41.5,31.6,2.192559349592693,0.9975393326957088,3.138001130819932,154.67666666666662,13.966666666666667,1.164526803140678,0.1815937191444439,2.9869659032731417,256.76363636363635,11.491228070175438
776425,1.5620583180594472,-10.201281594825051,5.0,2.55,1,11,18,25.0,6.0,0,0,0,17.563077353727913,18.069915506190792,7.7,46517,84.2,98.4,13.809226932668329,17.6,15.9,54137,77.5,95.1,37.5,12.4,-2.0213492801723563,-2.180905626193298,1.1350905740888793,386.10900000000004,9.547619047619047,-3.4933372527658997,-3.6364640667225028,0.7147212780130722,621.742,6.742424242424241
311760,3.7169956668803787,18.16834989532006,7.5,2.55,1,11,17,7.0,8.0,0,0,0,16.475235356753075,13.005307620387445,2.4,54667,95.8,47.2,19.56577595066804,8.9,5.4,44085,108.8,39.9,38.9,17.7,2.21088982094025,0.6853983296601592,3.3902593818153797,312.4816666666666,13.722222222222221,-0.8601540776790341,-2.4550261361178864,1.3789817553715422,203.46857142857144,12.185185185185185
1028155,0.8380509396366305,-6.559865792451559,5.0,0.0,1,1,21,26.0,20.0,0,0,0,1.8595179948985847,1.7513223580128938,48.3,121318,126.5,28.5,30.89734029331345,43.1,43.0,116897,103.3,28.0,33.5,58.2,4.345970692031494,5.341512303206195,4.19466086701408,161.82666666666668,17.055555555555557,-2.9463388451785377,-2.3961208197018866,0.8050227730526278,404.21299999999985,10.015873015873016
