state,county,tract,NAME,pct_bach,median_income,total_pop,sex_ratio,pct_white,median_age,pct_no_car,pct_unemp,age_18_29,pct_age_18_29
17,031,836400,"Census Tract 8364, Cook County, Illinois",22.2,30616,3737,74.0,7.8,35.1,37.9,13.5,590,15.788065293015787
17,031,836500,"Census Tract 8365, Cook County, Illinois",8.2,29972,1610,61.6,0.0,31.8,37.1,14.4,215,13.354037267080745
17,031,836600,"Census Tract 8366, Cook County, Illinois",5.0,43571,2291,76.8,41.5,34.9,12.8,4.0,452,19.729375818419904
17,031,836700,"Census Tract 8367, Cook County, Illinois",2.0,28365,2422,97.1,9.9,29.5,35.5,7.2,457,18.868703550784478
17,031,836800,"Census Tract 8368, Cook County, Illinois",3.8,13736,2164,95.1,6.6,29.5,52.9,9.6,440,20.33271719038817
17,031,836900,"Census Tract 8369, Cook County, Illinois",6.2,22109,1251,60.0,15.2,25.6,47.4,9.1,216,17.26618705035971
17,031,837000,"Census Tract 8370, Cook County, Illinois",8.7,26538,1950,65.1,9.8,27.7,51.5,9.1,299,15.333333333333332
17,031,837100,"Census Tract 8371, Cook County, Illinois",11.8,25556,1596,82.6,25.6,39.0,44.8,8.8,348,21.804511278195488
17,031,837300,"Census Tract 8373, Cook County, Illinois",7.5,27406,2607,101.0,4.9,27.6,35.8,8.4,592,22.708093594169544
17,031,837400,"Census Tract 8374, Cook County, Illinois",3.9,40417,2460,101.5,7.6,34.9,38.3,13.2,494,20.08130081300813
17,031,837800,"Census Tract 8378, Cook County, Illinois",12.7,60417,2662,118.7,22.9,31.8,22.6,6.9,601,22.577009767092413
17,031,803702,"Census Tract 8037.02, Cook County, Illinois",25.1,90685,6130,91.4,82.1,42.6,3.9,4.2,630,10.277324632952691
17,031,804108,"Census Tract 8041.08, Cook County, Illinois",25.7,85000,3891,108.6,38.8,32.0,3.2,4.8,774,19.892058596761757
17,031,804109,"Census Tract 8041.09, Cook County, Illinois",16.0,110833,2817,93.1,77.9,49.4,5.7,1.1,226,8.022719204827832
17,031,804308,"Census Tract 8043.08, Cook County, Illinois",7.5,72073,6215,102.6,52.7,40.5,2.2,4.4,898,14.448913917940468
17,031,804309,"Census Tract 8043.09, Cook County, Illinois",3.5,87742,3206,109.7,58.7,35.3,3.1,5.8,518,16.157205240174672
17,031,804310,"Census Tract 8043.10, Cook County, Illinois",11.8,95439,9141,101.7,73.8,40.7,2.2,3.9,1225,13.401159610545893
17,031,804311,"Census Tract 8043.11, Cook County, Illinois",17.8,97420,8215,108.0,55.5,37.6,0.8,1.3,1223,14.887401095556907
17,031,804403,"Census Tract 8044.03, Cook County, Illinois",15.7,75417,6938,80.2,70.4,39.3,1.0,3.3,816,11.761314499855867
17,031,804404,"Census Tract 8044.04, Cook County, Illinois",6.9,69559,5481,86.9,60.5,33.9,1.8,4.7,885,16.146688560481664
17,031,804405,"Census Tract 8044.05, Cook County, Illinois",2.8,59397,3497,92.2,41.5,27.4,4.3,3.1,628,17.95824992851015
17,031,760802,"Census Tract 7608.02, Cook County, Illinois",7.6,52188,2544,93.8,95.2,46.5,10.1,3.2,299,11.75314465408805
17,031,760803,"Census Tract 7608.03, Cook County, Illinois",9.6,41342,5707,115.6,87.0,38.3,13.6,5.4,854,14.964079200981251
17,031,770201,"Census Tract 7702.01, Cook County, Illinois",13.1,62853,5929,77.0,82.3,44.0,10.4,2.6,762,12.852082981953112
17,031,770202,"Census Tract 7702.02, Cook County, Illinois",10.5,65514,4876,89.4,88.5,49.4,4.9,3.9,429,8.798195242001642
17,031,770601,"Census Tract 7706.01, Cook County, Illinois",11.7,72946,3286,98.0,75.6,48.1,0.0,2.2,367,11.168594035301279
17,031,490300,"Census Tract 4903, Cook County, Illinois",17.4,55667,2340,99.8,0.7,42.1,15.9,4.5,230,9.82905982905983
17,031,490700,"Census Tract 4907, Cook County, Illinois",5.0,39787,2720,78.2,0.0,38.9,20.2,15.9,559,20.551470588235293
17,031,500100,"Census Tract 5001, Cook County, Illinois",7.7,46517,3208,84.2,1.6,48.7,17.6,4.5,443,13.809226932668327
17,031,520400,"Census Tract 5204, Cook County, Illinois",2.1,44226,4656,94.2,89.1,32.5,10.0,8.2,914,19.630584192439862
17,031,820902,"Census Tract 8209.02, Cook County, Illinois",5.9,73646,5345,110.5,79.7,34.1,8.6,4.9,856,16.014967259120674
17,031,821001,"Census Tract 8210.01, Cook County, Illinois",2.1,57148,5085,99.7,84.3,39.2,6.9,4.7,808,15.889872173058015
17,031,821002,"Census Tract 8210.02, Cook County, Illinois",4.9,58153,5379,95.2,85.9,42.1,5.3,4.6,919,17.084960029745304
17,031,822200,"Census Tract 8222, Cook County, Illinois",5.8,93723,3978,118.5,87.9,36.5,4.0,4.8,506,12.719959778783307
17,031,822500,"Census Tract 8225, Cook County, Illinois",11.1,71949,4320,107.8,87.5,43.4,8.3,4.3,524,12.12962962962963
17,031,822801,"Census Tract 8228.01, Cook County, Illinois",11.6,58569,3069,121.7,69.5,38.9,8.4,4.5,452,14.727924405343758
17,031,823200,"Census Tract 8232, Cook County, Illinois",9.0,68208,4691,101.8,89.9,40.4,3.1,3.5,670,14.28266894052441
17,031,823603,"Census Tract 8236.03, Cook County, Illinois",3.2,40521,2259,112.1,34.6,33.1,8.3,10.4,372,16.46746347941567
17,031,823705,"Census Tract 8237.05, Cook County, Illinois",6.7,58895,4831,103.0,89.9,38.3,4.7,5.6,526,10.888014903746637
17,031,824107,"Census Tract 8241.07, Cook County, Illinois",14.0,73825,6677,82.9,92.2,49.6,4.6,2.5,800,11.981428785382658
