TRACTCE,area_upr,residential_den,population_den,empoloyment_den,network_den,job_entropy,dist_to_tran,walkability
303603,1791.2102803,0.25218915082591625,6841.0,-0.49488064829998235,3.202341942692384,0.7868919481710002,709.45,8.416666666666666
303605,651.7208869,1.431341000151268,6083.0,-0.2200349186293975,4.385106169692061,0.7727170649937962,1142.63,11.0
303700,8572.782269970203,-0.689744778391846,10815.0,-0.6939386335602112,2.00781922303789,0.7588612807413015,456.65333333333336,13.729166666666666
303800,598.3983635,1.1495461756377625,4867.0,2.4154568486445203,5.197652119604402,0.728672529372919,491.52000000000004,15.166666666666668
303801,6604.4139252772,-0.8278667417064668,6760.0,-0.05900413003872944,2.5226235402880723,0.7347726661668262,663.1800000000001,10.541666666666666
303802,6079.2706373034,-0.4876725278799007,10829.0,-1.9202955793236751,2.848646053971915,0.5141611410437757,826.13,7.066666666666667
303803,759.85187,1.0864504828709534,4891.0,1.2869596926646065,4.115120919438199,0.5020589747371662,637.7,11.916666666666666
303900,1023.8383742,0.7833635183544663,6539.0,0.7073658684296517,4.913243920393942,0.418756489837817,816.7433333333333,11.433333333333334
304001,3888.8799272,-0.37267758915378174,7376.0,-1.1576323189668498,2.451228239522273,0.6209164306507553,231.345,12.722222222222223
304002,21309.430306100003,-2.214569827791538,5921.0,-2.191629144606967,1.2922896733897449,0.6108503358359337,370.15,14.066666666666668
